product_id,product_name,category,price,quantity,rating,purchase_date,customer_name
P1,Phone,,$309.31,10,1.9,2020-05-09,Alice
P9,Laptop,,$673.82,2,2.7,06/07/2022,
P10,Headphones,Accessories,417.67,-2,3.8,12/05/2021,
,Headphones,electronics,752.64,10,3.6,2020-01-26,Charlie
P13,Camera,electronics,287.64,18,1.9,2021-10-27,
P14,Monitor,,453.41,4,1.4,06/05/2020,Bob
P15,Tablet,Electronics,294.9,-1,,2020-11-09,Alice
,Headphones,Gadgets,496.66,10,3.3,25/08/2022,David
P18,Mouse,,$155.26,5,2.0,2022-07-17,Bob
,Headphones,Electronics,420.04,19,4.1,13/02/2022,
P24,Camera,electronics,173.7,-1,2.4,23/05/2021,
,Camera,Gadgets,362.97,-4,,2021-05-04,Charlie
P28,Keyboard,electronics,21.55,14,3.5,2021-05-07,
P31,Headphones,electronics,773.88,17,,2021-02-05,Bob
P36,Camera,Accessories,745.34,8,3.8,2022-03-22,
P43,Phone,electronics,374.16,6,,2021-04-22,Bob
P44,Tablet,electronics,809.03,15,,2022-04-02,Charlie
P45,Headphones,Electronics,749.65,18,,29/01/2020,Bob
P46,Headphones,Accessories,161.81,3,,02/02/2020,
P47,Camera,Accessories,784.14,8,3.9,18/06/2020,
P49,Phone,,572.42,9,1.6,08/09/2020,David
,Monitor,Accessories,$203.48,17,,23/02/2020,David
P52,Keyboard,Accessories,981.94,-2,,17/08/2020,
,Phone,electronics,118.24,-3,2.5,20/11/2020,Bob
P58,Laptop,,218.07,1,1.3,21/11/2021,Bob
P61,Keyboard,,331.27,5,3.9,11/02/2021,David
P62,Phone,,739.44,16,,2020-05-11,Bob
P63,Laptop,Accessories,432.54,11,,02/09/2022,Bob
P64,Camera,Accessories,$403.64,9,3.2,2021-02-13,
P65,Mouse,Accessories,17.92,16,2.9,14/07/2022,
P66,Camera,Gadgets,33.86,17,,28/11/2020,Alice
P68,Monitor,Electronics,$87.73,7,3.0,2021-08-26,
P70,Camera,,477.36,0,2.3,24/08/2021,Charlie
P71,Mouse,electronics,886.83,-4,2.4,29/08/2021,
,Camera,Gadgets,33.65,15,2.8,14/10/2021,David
P76,Keyboard,Electronics,226.21,5,,24/06/2022,Bob
,Monitor,,790.05,13,1.2,15/04/2020,alice
,Keyboard,Gadgets,974.05,-1,1.6,2022-04-28,Alice
P87,Mouse,,565.84,11,4.9,25/08/2020,David
P89,Laptop,Electronics,799.66,18,4.7,2021-12-04,
P90,Camera,,$666.09,9,1.1,25/09/2022,Alice
,Headphones,electronics,$856.35,17,4.4,2021-11-07,David
P92,Tablet,Electronics,$576.76,0,,13/05/2021,Alice
P93,Phone,,$29.13,13,,14/04/2021,alice
P94,Camera,,639.93,6,3.8,21/02/2022,Bob
P97,Phone,Gadgets,$472.21,5,,2022-08-29,Bob
P99,Laptop,Accessories,910.54,19,,2021-01-08,alice
,Keyboard,Electronics,510.41,8,,11/09/2022,Alice
P103,Keyboard,electronics,891.61,7,2.9,13/11/2020,
P106,Monitor,electronics,524.16,6,,03/03/2022,Charlie
P107,Phone,,399.01,16,4.4,29/06/2021,David
P109,Monitor,Gadgets,855.57,1,1.2,2021-11-19,
P111,Keyboard,electronics,$589.51,3,,08/01/2020,Charlie
P116,Laptop,electronics,640.24,2,5.0,2020-02-22,
P117,Keyboard,Electronics,531.16,9,,03/01/2022,alice
P119,Tablet,electronics,321.01,2,4.4,14/08/2022,
P120,Tablet,,485.26,12,1.8,22/06/2022,Bob
P121,Laptop,,559.97,19,5.0,2021-12-17,alice
,Headphones,Gadgets,219.84,1,2.2,12/10/2020,David
P125,Tablet,,37.33,12,1.7,2021-01-12,alice
P126,Keyboard,,$752.36,6,,22/02/2022,Bob
P128,Laptop,Electronics,141.11,1,,2020-08-02,David
P130,Mouse,Electronics,367.66,8,,2022-07-27,alice
P131,Mouse,,$393.95,2,4.1,2021-11-15,David
P133,Camera,electronics,659.75,13,,15/05/2021,alice
